#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-12-03T22:07:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5fc9612912c2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/611/A1/spectrum
#-nav=cat:J/A+A/611/A1&tab:{J/A+A/611/A1/spectrum}&key:source=J/A+A/611/A1&HTTPPRM:&&-ref=VIZ5fc9612912c2&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&lambda=1390 .. 1810&-out=SSI&-out=e_SSI&-file=-sort&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/611/A1/spectrum
#-source=J/A+A/611/A1/spectrum
#-out=lambda
#lambda=1390 .. 1810
#-out=SSI
#-out=e_SSI
#

#RESOURCE=yCat_36110001
#Name: J/A+A/611/A1
#Title: SOLAR/SOLSPEC Spectral Irradiance - 0.5-3000nm (Meftah+, 2018)
#Table	J_A_A_611_A1_spectrum:
#Name: J/A+A/611/A1/spectrum
#Title: *SOLAR-ISS spectrum, Version: 1.1, Date: 18-October-2017
#Column	lambda	(F13.8)	Wavelength	[ucd=em.wl]
#Column	SSI	(F11.8)	? Solar spectral irradiance	[ucd=spect.index]
#Column	e_SSI	(F11.8)	? Uncertainty on SSI (k=1)	[ucd=stat.error]
lambda	SSI	e_SSI
1395.15000000	 0.35320754	 0.51532339
1395.20000000	 0.35303539	 0.51561013
1395.25000000	 0.35286324	 0.51589688
1395.30000000	 0.35274234	 0.51618362
1395.35000000	 0.35273136	 0.51647036
1395.40000000	 0.35272037	 0.51675710
1395.45000000	 0.35270939	 0.51704385
1395.50000000	 0.35279252	 0.51733059
1395.55000000	 0.35300562	 0.51761733
1395.60000000	 0.35321872	 0.51790408
1395.65000000	 0.35343182	 0.51819082
1395.70000000	 0.35365275	 0.51847756
1395.75000000	 0.35388035	 0.51876431
1395.80000000	 0.35410796	 0.51905105
1395.85000000	 0.35433556	 0.51933779
1395.90000000	 0.35457670	 0.51962453
1395.95000000	 0.35482546	 0.51991128
1396.00000000	 0.35507422	 0.52019802
1396.05000000	 0.35532297	 0.52048476
1396.10000000	 0.35543579	 0.52077151
1396.15000000	 0.35550084	 0.52105825
1396.20000000	 0.35556589	 0.52134499
1396.25000000	 0.35563094	 0.52163174
1396.30000000	 0.35559361	 0.52191848
1396.35000000	 0.35553648	 0.52220522
1396.40000000	 0.35547935	 0.52249196
1396.45000000	 0.35542222	 0.52277871
1396.50000000	 0.35533453	 0.52306545
1396.55000000	 0.35524489	 0.52335219
1396.60000000	 0.35515525	 0.52363894
1396.65000000	 0.35506960	 0.52392568
1396.70000000	 0.35507498	 0.52421242
1396.75000000	 0.35508036	 0.52449917
1396.80000000	 0.35508573	 0.52478591
1396.85000000	 0.35509245	 0.52507265
1396.90000000	 0.35510740	 0.52535939
1396.95000000	 0.35512235	 0.52564614
1397.00000000	 0.35513730	 0.52593288
1397.05000000	 0.35516546	 0.52621962
1397.10000000	 0.35523546	 0.52650637
1397.15000000	 0.35530546	 0.52679311
1397.20000000	 0.35537546	 0.52707985
1397.25000000	 0.35543525	 0.52736660
1397.30000000	 0.35547338	 0.52754894
1397.35000000	 0.35551150	 0.52731369
1397.40000000	 0.35554962	 0.52707844
1397.45000000	 0.35557621	 0.52684318
1397.50000000	 0.35558687	 0.52660793
1397.55000000	 0.35559754	 0.52637268
1397.60000000	 0.35560820	 0.52613743
1397.65000000	 0.35559621	 0.52590218
1397.70000000	 0.35556329	 0.52566693
1397.75000000	 0.35553038	 0.52543167
1397.80000000	 0.35549747	 0.52519642
1397.85000000	 0.35544927	 0.52496117
1397.90000000	 0.35539171	 0.52472592
1397.95000000	 0.35533414	 0.52449067
1398.00000000	 0.35527658	 0.52425542
1398.05000000	 0.35522358	 0.52402016
1398.10000000	 0.35517254	 0.52378491
1398.15000000	 0.35512149	 0.52354966
1398.20000000	 0.35507045	 0.52331441
1398.25000000	 0.35500156	 0.52307916
1398.30000000	 0.35492822	 0.52284391
1398.35000000	 0.35485487	 0.52260865
1398.40000000	 0.35478153	 0.52237340
1398.45000000	 0.35475241	 0.52213815
1398.50000000	 0.35472933	 0.52190290
1398.55000000	 0.35470624	 0.52166765
1398.60000000	 0.35468316	 0.52143240
1398.65000000	 0.35466092	 0.52119714
1398.70000000	 0.35463869	 0.52096189
1398.75000000	 0.35461647	 0.52072664
1398.80000000	 0.35459432	 0.52049139
1398.85000000	 0.35457335	 0.52025614
1398.90000000	 0.35455238	 0.52002088
1398.95000000	 0.35453141	 0.51978563
1399.00000000	 0.35449230	 0.51955038
1399.05000000	 0.35434179	 0.51931513
1399.10000000	 0.35419128	 0.51907988
1399.15000000	 0.35404076	 0.51884463
1399.20000000	 0.35380132	 0.51860937
1399.25000000	 0.35328026	 0.51837412
1399.30000000	 0.35275919	 0.51813887
1399.35000000	 0.35223813	 0.51790362
1399.40000000	 0.35167579	 0.51766837
1399.45000000	 0.35102572	 0.51743312
1399.50000000	 0.35037566	 0.51719786
1399.55000000	 0.34972559	 0.51696261
1399.60000000	 0.34905920	 0.51672736
1399.65000000	 0.34836833	 0.51649211
1399.70000000	 0.34767746	 0.51625686
1399.75000000	 0.34698658	 0.51602161
1399.80000000	 0.34638075	 0.51578635
1399.85000000	 0.34586703	 0.51555110
1399.90000000	 0.34535332	 0.51531585
1399.95000000	 0.34483960	 0.51508060
1400.00000000	 0.34457492	 0.51484535
1400.05000000	 0.34450591	 0.51461010
1400.10000000	 0.34443690	 0.51437484
1400.15000000	 0.34436789	 0.51413959
1400.20000000	 0.34449705	 0.51390434
1400.25000000	 0.34473769	 0.51366909
1400.30000000	 0.34497832	 0.51343384
1400.35000000	 0.34521895	 0.51319858
1400.40000000	 0.34537674	 0.51296333
1400.45000000	 0.34550231	 0.51272808
1400.50000000	 0.34562788	 0.51249283
1400.55000000	 0.34575346	 0.51225758
1400.60000000	 0.34601013	 0.51202233
1400.65000000	 0.34629999	 0.51178707
1400.70000000	 0.34658985	 0.51155182
1400.75000000	 0.34687971	 0.51131657
1400.80000000	 0.34693718	 0.51108132
1400.85000000	 0.34696296	 0.51084607
1400.90000000	 0.34698873	 0.51061082
1400.95000000	 0.34701451	 0.51037556
1401.00000000	 0.34705408	 0.51014031
1401.05000000	 0.34709453	 0.50990506
1401.10000000	 0.34713498	 0.50966981
1401.15000000	 0.34717880	 0.50943456
1401.20000000	 0.34738807	 0.50919931
1401.25000000	 0.34759735	 0.50896405
1401.30000000	 0.34780662	 0.50872880
1401.35000000	 0.34802967	 0.50849355
1401.40000000	 0.34837667	 0.50835571
1401.45000000	 0.34872367	 0.50822215
1401.50000000	 0.34907067	 0.50808858
1401.55000000	 0.34940012	 0.50795502
1401.60000000	 0.34963742	 0.50782145
1401.65000000	 0.34987472	 0.50768789
1401.70000000	 0.35011203	 0.50755432
1401.75000000	 0.35036473	 0.50742076
1401.80000000	 0.35066619	 0.50728719
1401.85000000	 0.35096765	 0.50715363
1401.90000000	 0.35126911	 0.50702006
1401.95000000	 0.35148479	 0.50688650
1402.00000000	 0.35149842	 0.50675293
1402.05000000	 0.35151204	 0.50661937
1402.10000000	 0.35152566	 0.50648580
1402.15000000	 0.35149597	 0.50635224
1402.20000000	 0.35139563	 0.50621867
1402.25000000	 0.35129528	 0.50608511
1402.30000000	 0.35119493	 0.50595154
1402.35000000	 0.35104229	 0.50581798
1402.40000000	 0.35082309	 0.50568441
1402.45000000	 0.35060389	 0.50555085
1402.50000000	 0.35038469	 0.50541728
1402.55000000	 0.35015662	 0.50528372
1402.60000000	 0.34991967	 0.50515015
1402.65000000	 0.34968272	 0.50501659
1402.70000000	 0.34944578	 0.50488302
1402.75000000	 0.34913792	 0.50474946
1402.80000000	 0.34877914	 0.50461589
1402.85000000	 0.34842036	 0.50448232
1402.90000000	 0.34806158	 0.50434876
1402.95000000	 0.34781559	 0.50421519
1403.00000000	 0.34763305	 0.50408163
1403.05000000	 0.34745051	 0.50394806
1403.10000000	 0.34726797	 0.50381450
1403.15000000	 0.34711805	 0.50368093
1403.20000000	 0.34698211	 0.50354737
1403.25000000	 0.34684618	 0.50341380
1403.30000000	 0.34671024	 0.50328024
1403.35000000	 0.34680077	 0.50314667
1403.40000000	 0.34696282	 0.50301311
1403.45000000	 0.34712487	 0.50287954
1403.50000000	 0.34728692	 0.50274598
1403.55000000	 0.34737743	 0.50261241
1403.60000000	 0.34745224	 0.50247885
1403.65000000	 0.34752704	 0.50234528
1403.70000000	 0.34760184	 0.50221172
1403.75000000	 0.34781984	 0.50207815
1403.80000000	 0.34805774	 0.50194459
1403.85000000	 0.34829563	 0.50181102
1403.90000000	 0.34853353	 0.50167746
1403.95000000	 0.34854883	 0.50154389
1404.00000000	 0.34854991	 0.50141033
1404.05000000	 0.34855100	 0.50127676
1404.10000000	 0.34855209	 0.50114320
1404.15000000	 0.34857086	 0.50100963
1404.20000000	 0.34858964	 0.50087607
1404.25000000	 0.34860841	 0.50074250
1404.30000000	 0.34861209	 0.50060893
1404.35000000	 0.34837925	 0.50047537
1404.40000000	 0.34814642	 0.50034180
1404.45000000	 0.34791358	 0.50020824
1404.50000000	 0.34770366	 0.50007467
1404.55000000	 0.34766186	 0.49994111
1404.60000000	 0.34762006	 0.49980754
1404.65000000	 0.34757825	 0.49967398
1404.70000000	 0.34752466	 0.49954041
1404.75000000	 0.34740917	 0.49940685
1404.80000000	 0.34729368	 0.49927328
1404.85000000	 0.34717819	 0.49913972
1404.90000000	 0.34711973	 0.49900615
1404.95000000	 0.34726349	 0.49887259
1405.00000000	 0.34740724	 0.49873902
1405.05000000	 0.34755100	 0.49860546
1405.10000000	 0.34770779	 0.49847189
1405.15000000	 0.34789846	 0.49833833
1405.20000000	 0.34808913	 0.49820476
1405.25000000	 0.34827980	 0.49807120
1405.30000000	 0.34849482	 0.49793763
1405.35000000	 0.34876207	 0.49780407
1405.40000000	 0.34902932	 0.49767050
1405.45000000	 0.34929657	 0.49756424
1405.50000000	 0.34947039	 0.49746776
1405.55000000	 0.34949178	 0.49737129
1405.60000000	 0.34951316	 0.49727482
1405.65000000	 0.34953454	 0.49717834
1405.70000000	 0.34955064	 0.49708187
1405.75000000	 0.34955944	 0.49698540
1405.80000000	 0.34956824	 0.49688893
1405.85000000	 0.34957704	 0.49679245
1405.90000000	 0.34945354	 0.49669598
1405.95000000	 0.34918671	 0.49659951
1406.00000000	 0.34891988	 0.49650303
1406.05000000	 0.34865306	 0.49640656
1406.10000000	 0.34837889	 0.49631009
1406.15000000	 0.34809796	 0.49621362
1406.20000000	 0.34781702	 0.49611714
1406.25000000	 0.34753608	 0.49602067
1406.30000000	 0.34733716	 0.49592420
1406.35000000	 0.34720269	 0.49582773
1406.40000000	 0.34706821	 0.49573125
1406.45000000	 0.34693374	 0.49563478
1406.50000000	 0.34690512	 0.49553831
1406.55000000	 0.34694709	 0.49544183
1406.60000000	 0.34698905	 0.49534536
1406.65000000	 0.34703101	 0.49524889
1406.70000000	 0.34711025	 0.49515242
1406.75000000	 0.34721046	 0.49505594
1406.80000000	 0.34731067	 0.49495947
1406.85000000	 0.34741089	 0.49486300
1406.90000000	 0.34749720	 0.49476652
1406.95000000	 0.34757756	 0.49467005
1407.00000000	 0.34765793	 0.49457358
1407.05000000	 0.34773829	 0.49447711
1407.10000000	 0.34780068	 0.49438063
1407.15000000	 0.34785675	 0.49428416
1407.20000000	 0.34791283	 0.49418769
1407.25000000	 0.34796890	 0.49409121
1407.30000000	 0.34792506	 0.49399474
1407.35000000	 0.34785303	 0.49389827
1407.40000000	 0.34778101	 0.49380180
1407.45000000	 0.34770898	 0.49370532
1407.50000000	 0.34768031	 0.49360885
1407.55000000	 0.34766114	 0.49351238
1407.60000000	 0.34764198	 0.49341590
1407.65000000	 0.34762282	 0.49331943
1407.70000000	 0.34755239	 0.49322296
1407.75000000	 0.34747219	 0.49312649
1407.80000000	 0.34739200	 0.49303001
1407.85000000	 0.34731180	 0.49293354
1407.90000000	 0.34732056	 0.49283707
1407.95000000	 0.34734145	 0.49274060
1408.00000000	 0.34736234	 0.49264412
1408.05000000	 0.34738323	 0.49254765
1408.10000000	 0.34734645	 0.49245118
1408.15000000	 0.34730466	 0.49235470
1408.20000000	 0.34726287	 0.49225823
1408.25000000	 0.34722108	 0.49216176
1408.30000000	 0.34727011	 0.49206529
1408.35000000	 0.34732293	 0.49196881
1408.40000000	 0.34737575	 0.49187234
1408.45000000	 0.34742857	 0.49177587
1408.50000000	 0.34745980	 0.49167939
1408.55000000	 0.34749060	 0.49158292
1408.60000000	 0.34752140	 0.49148645
1408.65000000	 0.34755323	 0.49138998
1408.70000000	 0.34763587	 0.49129350
1408.75000000	 0.34771850	 0.49119703
1408.80000000	 0.34780114	 0.49110056
1408.85000000	 0.34788305	 0.49100408
1408.90000000	 0.34794753	 0.49090761
1408.95000000	 0.34801201	 0.49081114
1409.00000000	 0.34807649	 0.49071467
1409.05000000	 0.34814337	 0.49061819
1409.10000000	 0.34823783	 0.49052172
1409.15000000	 0.34833229	 0.49042525
1409.20000000	 0.34842675	 0.49032877
1409.25000000	 0.34851343	 0.49023230
1409.30000000	 0.34853009	 0.49013583
1409.35000000	 0.34854676	 0.49003936
1409.40000000	 0.34856342	 0.48994288
1409.45000000	 0.34856672	 0.48984641
1409.50000000	 0.34848791	 0.48972296
1409.55000000	 0.34840910	 0.48957634
1409.60000000	 0.34833029	 0.48942972
1409.65000000	 0.34824867	 0.48928310
1409.70000000	 0.34815232	 0.48913647
1409.75000000	 0.34805597	 0.48898985
1409.80000000	 0.34795962	 0.48884323
1409.85000000	 0.34785498	 0.48869661
1409.90000000	 0.34771313	 0.48854999
1409.95000000	 0.34757127	 0.48840337
1410.00000000	 0.34742942	 0.48825675
1410.05000000	 0.34728686	 0.48811013
1410.10000000	 0.34714184	 0.48796351
1410.15000000	 0.34699682	 0.48781689
1410.20000000	 0.34685180	 0.48767027
1410.25000000	 0.34672942	 0.48752365
1410.30000000	 0.34667872	 0.48737702
1410.35000000	 0.34662802	 0.48723040
1410.40000000	 0.34657732	 0.48708378
1410.45000000	 0.34652791	 0.48693716
1410.50000000	 0.34648214	 0.48679054
1410.55000000	 0.34643637	 0.48664392
1410.60000000	 0.34639060	 0.48649730
1410.65000000	 0.34630357	 0.48635068
1410.70000000	 0.34611045	 0.48620406
1410.75000000	 0.34591732	 0.48605744
1410.80000000	 0.34572419	 0.48591082
1410.85000000	 0.34537926	 0.48576420
1410.90000000	 0.34468010	 0.48561757
1410.95000000	 0.34398095	 0.48547095
1411.00000000	 0.34328180	 0.48532433
1411.05000000	 0.34260172	 0.48517771
1411.10000000	 0.34196254	 0.48503109
1411.15000000	 0.34132337	 0.48488447
1411.20000000	 0.34068420	 0.48473785
1411.25000000	 0.33995020	 0.48459123
1411.30000000	 0.33903212	 0.48444461
1411.35000000	 0.33811405	 0.48429799
1411.40000000	 0.33719597	 0.48415137
1411.45000000	 0.33645110	 0.48400475
1411.50000000	 0.33604245	 0.48385812
1411.55000000	 0.33563381	 0.48371150
1411.60000000	 0.33522516	 0.48356488
1411.65000000	 0.33495064	 0.48341826
1411.70000000	 0.33491457	 0.48327164
1411.75000000	 0.33487851	 0.48312502
1411.80000000	 0.33484244	 0.48297840
1411.85000000	 0.33503071	 0.48283178
1411.90000000	 0.33558810	 0.48268516
1411.95000000	 0.33614550	 0.48253854
1412.00000000	 0.33670289	 0.48239192
1412.05000000	 0.33724158	 0.48224530
1412.10000000	 0.33774974	 0.48209867
1412.15000000	 0.33825790	 0.48195205
1412.20000000	 0.33876605	 0.48180543
1412.25000000	 0.33926336	 0.48165881
1412.30000000	 0.33974439	 0.48151219
1412.35000000	 0.34022543	 0.48136557
1412.40000000	 0.34070646	 0.48121895
1412.45000000	 0.34097170	 0.48107233
1412.50000000	 0.34093893	 0.48092571
1412.55000000	 0.34090617	 0.48077909
1412.60000000	 0.34087341	 0.48063247
1412.65000000	 0.34075160	 0.48048585
1412.70000000	 0.34050682	 0.48033922
1412.75000000	 0.34026203	 0.48019260
1412.80000000	 0.34001725	 0.48004598
1412.85000000	 0.33982811	 0.47989936
1412.90000000	 0.33970981	 0.47975274
1412.95000000	 0.33959151	 0.47960612
1413.00000000	 0.33947321	 0.47945950
1413.05000000	 0.33942437	 0.47931288
1413.10000000	 0.33946392	 0.47916626
1413.15000000	 0.33950348	 0.47901964
1413.20000000	 0.33954304	 0.47887302
1413.25000000	 0.33970544	 0.47872640
1413.30000000	 0.34002418	 0.47857977
1413.35000000	 0.34034292	 0.47843315
1413.40000000	 0.34066166	 0.47828653
1413.45000000	 0.34096603	 0.47813991
1413.50000000	 0.34125213	 0.47799329
1413.55000000	 0.34153822	 0.47787447
1413.60000000	 0.34182432	 0.47780421
1413.65000000	 0.34211425	 0.47773396
1413.70000000	 0.34240869	 0.47766370
1413.75000000	 0.34270314	 0.47759345
1413.80000000	 0.34299758	 0.47752319
1413.85000000	 0.34313203	 0.47745294
1413.90000000	 0.34307867	 0.47738268
1413.95000000	 0.34302531	 0.47731243
1414.00000000	 0.34297195	 0.47724217
1414.05000000	 0.34289055	 0.47717192
1414.10000000	 0.34277622	 0.47710166
1414.15000000	 0.34266189	 0.47703141
1414.20000000	 0.34254756	 0.47696115
1414.25000000	 0.34240601	 0.47689090
1414.30000000	 0.34223224	 0.47682064
1414.35000000	 0.34205846	 0.47675039
1414.40000000	 0.34188469	 0.47668013
1414.45000000	 0.34181535	 0.47660988
1414.50000000	 0.34186861	 0.47653962
1414.55000000	 0.34192187	 0.47646937
1414.60000000	 0.34197513	 0.47639911
1414.65000000	 0.34206063	 0.47632886
1414.70000000	 0.34218397	 0.47625860
1414.75000000	 0.34230732	 0.47618835
1414.80000000	 0.34243066	 0.47611809
1414.85000000	 0.34263684	 0.47604784
1414.90000000	 0.34294024	 0.47597758
1414.95000000	 0.34324364	 0.47590732
1415.00000000	 0.34354705	 0.47583707
1415.05000000	 0.34380637	 0.47576681
1415.10000000	 0.34400958	 0.47569656
1415.15000000	 0.34421280	 0.47562630
1415.20000000	 0.34441602	 0.47555605
1415.25000000	 0.34457772	 0.47548579
1415.30000000	 0.34468658	 0.47541554
1415.35000000	 0.34479544	 0.47534528
1415.40000000	 0.34490430	 0.47527503
1415.45000000	 0.34485918	 0.47520477
1415.50000000	 0.34461808	 0.47513452
1415.55000000	 0.34437699	 0.47506426
1415.60000000	 0.34413589	 0.47499401
1415.65000000	 0.34386260	 0.47492375
1415.70000000	 0.34354484	 0.47485350
1415.75000000	 0.34322709	 0.47478324
1415.80000000	 0.34290934	 0.47471299
1415.85000000	 0.34257119	 0.47464273
1415.90000000	 0.34220487	 0.47457248
1415.95000000	 0.34183856	 0.47450222
1416.00000000	 0.34147224	 0.47443197
1416.05000000	 0.34118138	 0.47436171
1416.10000000	 0.34099557	 0.47429146
1416.15000000	 0.34080977	 0.47422120
1416.20000000	 0.34062396	 0.47415095
1416.25000000	 0.34051514	 0.47408069
1416.30000000	 0.34052180	 0.47401044
1416.35000000	 0.34052845	 0.47394018
1416.40000000	 0.34053510	 0.47386993
1416.45000000	 0.34061682	 0.47379967
1416.50000000	 0.34082100	 0.47372942
1416.55000000	 0.34102517	 0.47365916
1416.60000000	 0.34122935	 0.47358891
1416.65000000	 0.34144583	 0.47351865
1416.70000000	 0.34168237	 0.47344840
1416.75000000	 0.34191891	 0.47337814
1416.80000000	 0.34215545	 0.47330789
1416.85000000	 0.34239927	 0.47323763
1416.90000000	 0.34265603	 0.47316738
1416.95000000	 0.34291279	 0.47309712
1417.00000000	 0.34316956	 0.47302687
1417.05000000	 0.34338015	 0.47295661
1417.10000000	 0.34350111	 0.47288636
1417.15000000	 0.34362208	 0.47281610
1417.20000000	 0.34374304	 0.47274585
1417.25000000	 0.34383747	 0.47267559
1417.30000000	 0.34387551	 0.47260534
1417.35000000	 0.34391354	 0.47253508
1417.40000000	 0.34395157	 0.47246483
1417.45000000	 0.34398946	 0.47239457
1417.50000000	 0.34402705	 0.47232432
1417.55000000	 0.34406464	 0.47225406
1417.60000000	 0.34410222	 0.47220510
1417.65000000	 0.34411320	 0.47223530
1417.70000000	 0.34406208	 0.47226550
1417.75000000	 0.34401096	 0.47229570
1417.80000000	 0.34395984	 0.47232589
1417.85000000	 0.34387522	 0.47235609
1417.90000000	 0.34370358	 0.47238629
1417.95000000	 0.34353195	 0.47241649
1418.00000000	 0.34336031	 0.47244669
1418.05000000	 0.34318078	 0.47247688
1418.10000000	 0.34297878	 0.47250708
1418.15000000	 0.34277679	 0.47253728
1418.20000000	 0.34257479	 0.47256748
1418.25000000	 0.34236558	 0.47259768
1418.30000000	 0.34213080	 0.47262787
1418.35000000	 0.34189602	 0.47265807
1418.40000000	 0.34166124	 0.47268827
1418.45000000	 0.34142690	 0.47271847
1418.50000000	 0.34119431	 0.47274867
1418.55000000	 0.34096172	 0.47277886
1418.60000000	 0.34072913	 0.47280906
1418.65000000	 0.34051824	 0.47283926
1418.70000000	 0.34040619	 0.47286946
1418.75000000	 0.34029415	 0.47289965
1418.80000000	 0.34018210	 0.47292985
1418.85000000	 0.34008457	 0.47296005
1418.90000000	 0.34006328	 0.47299025
1418.95000000	 0.34004199	 0.47302045
1419.00000000	 0.34002070	 0.47305064
1419.05000000	 0.33999907	 0.47308084
1419.10000000	 0.33997502	 0.47311104
1419.15000000	 0.33995097	 0.47314124
1419.20000000	 0.33992692	 0.47317144
1419.25000000	 0.33988964	 0.47320163
1419.30000000	 0.33973325	 0.47323183
